"Question Theme","Prompt Used","Question ID","Policy Section / Reference","Generated Question Text","Correct Answer","Explanation for Correct Answer","Policy Alignment (Y/N)","Correctness of Answers (Y/N)","Clarity (1–5)","Engagement / Fun (1–5)","Accessibility / Readability (1–5)","Notes / Suggested Fixes"
"True/False","Generate a True/False question about the mandatory requirement for all employees to undergo security training.","TF-001","ISM.01 §3.2.2","True or False: According to the Information Security Policy, only employees and contractors who handle sensitive customer data are required to undertake security awareness training.","False","The policy states that 'all employees must undertake regular periodic security awareness training appropriate to their role and responsibilities.' This requirement is not limited to specific roles. (Reference: ISM.01 §3.2.2)","Y","Y","5","3","5",""
"Scenario-Based","Generate a scenario-based multiple-choice question about the mandatory return of assets upon termination of employment.","SC-001","ISM.01 §4.1.4","An employee who is resigning asks if they can purchase their company-issued laptop, as they are used to it. According to the policy, what is the mandatory rule regarding company assets upon termination?","A) The employee must return all company information and device assets without exception.","The policy explicitly states: 'all employees and third party users must return all information and device assets upon termination of their employment, contract or agreement.' (Reference: ISM.01 §4.1.4)","Y","Y","5","4","5",""
"Spot the Mistake","Generate a 'Spot the Mistake' question where a team uses a shared account, testing the rule against it.","SM-001","ISM.01 §5.2.1","To make project handovers easier, a team manager creates a single shared login account ('project_team@everest.engineering') for their entire team to access a new software tool. What mandatory rule from the Access Control policy is being violated?","The creation and use of a shared account for non-exceptional purposes.","The policy states that 'Shared accounts are not permitted unless required for exceptional purposes.' All users must be assigned unique identifiers to associate actions with individuals. (Reference: ISM.01 §5.2.1)","Y","Y","4","4","5",""
"“What If…” Scenario","Generate a 'What If' scenario question about the mandatory timeline for patching critical vulnerabilities on workstations.","WI-001","ISM.01 §8.5.1","What if your company-issued laptop's operating system has a security patch released that is identified as 'critical' by the vendor because a working exploit exists? What is the maximum time you have to install it according to the policy?","Within 48 hours.","The policy mandates that for operating systems of workstations & laptops, critical patches must be installed 'Within 48 hours if identified as critical by vendors or working exploits exist.' (Reference: ISM.01 §8.5.1)","Y","Y","5","4","5",""
"Multiple Choice","Generate a multiple-choice question testing the mandatory duty of employees to report suspected security weaknesses.","MC-001","ISM.01 §12.1.3","While browsing a website for work, you notice it seems to be behaving strangely and you suspect it might have been compromised. You are not certain it's a security risk. What is your mandatory responsibility?","You must report the observed or suspected security weakness through the proper channels.","The policy states that 'employees and contractors must report all observed or suspected security weaknesses.' Certainty is not required to trigger the reporting obligation. (Reference: ISM.01 §12.1.3)","Y","Y","5","3","5",""
"Multiple Choice","Generate a multiple-choice question testing knowledge of the ISMS Council's specific annual responsibilities.","MC-001","ISM.02 §3.1","According to the policy, which of the following is an *annual* responsibility of the ISMS Council? A) Review of metrics tracking ISMS adherence. B) Allocation of budget and resourcing to support the ISMS. C) Incident management including post-incident reviews. D) Delegation and tracking of risk treatment.","B) Allocation of budget and resourcing to support the ISMS.","Policy section ISM.02 §3.1 explicitly lists 'allocation of budget and resourcing to support the ISMS' as an annual responsibility. Reviewing metrics is quarterly, incident management is the InfoSec Team's role, and delegating risk treatment is a Function Director's role.","Y","Y","5","3","5","Tests specific knowledge of responsibility frequency."
"True/False","Generate a True/False question to check understanding of the core responsibilities assigned to all employees and contractors.","TF-002","ISM.02 §3.4","True or False: The 'Roles and responsibilities' policy states that all employees and contractors are responsible for performing internal security audits.","False","According to ISM.02 §3.4, employees and contractors are responsible for things like participating in training and protecting assets. Performing internal audits is a responsibility of the Information Security Team, as stated in ISM.02 §3.3.","Y","Y","5","3","5","A clear question that distinguishes between different roles' responsibilities."
"Scenario-Based","Generate a scenario-based question about risk ownership and the reporting structure defined in the policy.","SC-003","ISM.02 §2.3","A new risk related to a third-party data processor has been identified and assigned to a risk owner in the finance department. According to the policy, to whom must this risk owner report their progress on the risk treatment for assessment and review? A) The Director of Information Security. B) The Information Security Team. C) Their Function Director. D) The CEO.","C) Their Function Director.","ISM.02 §2.3 states: 'Risk owners–those assigned responsibility to address risk–report their progress to their function director to assess, audit and review treatment effectiveness.'","Y","Y","5","4","5","Applies the policy to a realistic business situation."
"Odd One Out","Generate an 'Odd One Out' question to test knowledge of the specific roles that constitute the ISMS Council.","OOO-004","ISM.02 §2.1","Based on the policy, which of the following roles is NOT a member of the ISMS Council? A) CEO; B) An external security consultant; C) Function directors; D) The information security team.","B) An external security consultant","ISM.02 §2.1 explicitly lists the members of the ISMS Council as: CEO, CTO, director of information security, the information security team, and function directors. An external consultant is not included in this list.","Y","Y","5","4","5","Effectively tests knowledge of a specific list from the policy."
"What If… Scenario","Generate a 'What If...' scenario question to identify which team is responsible for day-to-day operational security tasks.","WI-005","ISM.02 §2.4","What if an employee receives a security alert on their laptop from the company's anti-malware software? Which team is responsible for the 'day-to-day security compliance and monitoring' that would handle the investigation of such an alert? A) The ISMS Council. B) The employee's Function Director. C) The Information Security Team. D) The employee themselves.","C) The Information Security Team.","ISM.02 §2.4 specifies that the Information Security Team 'is responsible for day-to-day security compliance and monitoring throughout the organisation to achieve the goals of the ISMS.' Investigating an anti-malware alert falls under this responsibility.","Y","Y","5","4","5","Connects a common security event to the correct responsible party in the policy."
"Scenario-Based","Generate a scenario-based question about the mandatory timeline for installing critical security updates on laptops.","SC-001","ISM.03 §3.1","An urgent security bulletin is released for a critical vulnerability in your laptop's operating system, which is known to be actively exploited. According to the Mobile Device Policy, what is the maximum time you have to install the required update? A) Within two weeks. B) As soon as practical (within 48 hours). C) Within one month. D) At the next scheduled maintenance window.","B) As soon as practical (within 48 hours).","ISM.03 §3.1 states: 'Where updates contain fixes for critical or known exploited vulnerabilities, updates must be installed as soon as practical (within 48 hours)'.","Y","Y","5","4","5","Tests a specific, critical, time-sensitive rule."
"True/False","Create a True/False question testing the rule about using mobile devices that no longer receive security patches.","TF-002","ISM.03 §2.1","True or False: The policy allows you to continue using your mobile phone for Everest Engineering purposes even after the manufacturer has stopped providing security patches for it.","False","ISM.03 §2.1 explicitly states: 'Staff may not use a mobile for Everest Engineering purposes once security patches are no longer available.'","Y","Y","5","3","5","A direct and clear test of a prohibitive rule."
"Spot the Mistake","Generate a 'Spot the Mistake' style multiple-choice question on the mandatory configuration settings for mobile phones.","MC-003","ISM.03 §2.2 & §3.5","The Mobile Device Policy mandates several configurations for devices. Which of the following is a requirement for laptops/desktops, but NOT for mobile phones? A) Storage must be encrypted. B) The device must auto-lock after a period of being idle. C) A PIN or password is required on boot. D) The host firewall must be enabled.","D) The host firewall must be enabled.","While enabling the host firewall is a requirement for laptops and desktops (ISM.03 §3.5), it is not listed as a mandatory configuration for mobile phones in ISM.03 §2.2. The other options are required for both or specifically for mobiles.","Y","Y","5","4","5","This question requires careful reading and differentiation between rules for different device types."
"“What If…” Scenario","Create a 'What If...' scenario question regarding the policy on BYOD devices and the installation of company security software.","WI-004","ISM.03 §3.6","An employee wants to use their personal laptop (BYOD) for work but it is not able to install the standard endpoint protection agent. What is the correct course of action according to the policy? A) They cannot use the device for any company work. B) They can proceed without the agent, as it's a personal device. C) An exception may be permitted, but it must be tracked and regularly reviewed. D) They can use the device only for non-sensitive work after signing a waiver.","C) An exception may be permitted, but it must be tracked and regularly reviewed.","ISM.03 §3.6 states that while staff must normally install the security configuration, 'Systems that are not able to install our endpoint protection agent or implement other security controls may be permitted by exception. Exceptions must be tracked and regularly reviewed.'","Y","Y","5","5","5","Tests the nuance of the BYOD policy, including the exception process."
"Comparison/Swipe","Design a multiple-choice question that compares the different mandatory screen lock times for mobile phones versus laptops.","CP-005","ISM.03 §2.2 & §3.5","The policy specifies different maximum inactivity times before a device must automatically lock. What are the correct maximum times for a mobile phone and a laptop, respectively? A) 5 minutes / 15 minutes B) 15 minutes / 5 minutes C) 5 minutes / 5 minutes D) 15 minutes / 15 minutes","A) 5 minutes / 15 minutes","According to ISM.03 §2.2, mobile phones must 'automatically lock when idle with a maximum idle time of 5 minutes.' For laptops, ISM.03 §3.5 requires 'Automatic screen lock after 15 minutes of inactivity.'","Y","Y","5","4","5","Excellent question for testing attention to detail and understanding that rules can differ by device type."
